file_name,title,document_type,category,clause_type,description,jurisdiction,document_date
PRC_001.txt,Standard Mutual Non-Disclosure Agreement (NDA) Template,Clause Template,Confidentiality,Confidentiality,"Fictional boilerplate document containing mutual confidentiality clauses, carve-outs, return of materials, and standard remedies.",Federal,2025-06-01
PRC_002.txt,Governing Law and Forum Selection Guidelines,Regulatory Guidance,Governing Law,Governing Law,Regulatory and risk assessment guidelines for selecting governing law jurisdictions and forum venue options.,Delaware/New York,2025-06-05
PRC_003.txt,Limitation of Liability Negotiation Playbook,Negotiation Playbook,Limitation of Liability,Limitation of Liability,Negotiation rules and fallback positions for limiting aggregate and consequential damages liability.,Federal,2025-06-10
PRC_004.txt,GDPR Compliance and Data Privacy Playbook,Regulatory Guidance,Confidentiality,Confidentiality,"Regulatory playbook outlining compliance requirements for data processing, data transfers, and standard contractual clauses.",European Union,2025-06-12
PRC_005.txt,Master Services Agreement (MSA) Boilerplate,Clause Template,Payment Terms,Payment Terms,"Standard boilerplate containing general payment terms, net payment days, and invoice dispute mechanisms.",New York,2025-06-15
PRC_006.txt,Payment Term Negotiation Strategy Guide,Negotiation Playbook,Payment Terms,Payment Terms,"Strategic instructions for negotiating client payment terms, handling net 30/45/60, and setting interest on late payments.",Federal,2025-06-18
PRC_007.txt,Intellectual Property Transfer and Assignment Agreement,Clause Template,Intellectual Property,Intellectual Property,Standard template for assigning intellectual property rights from independent contractors to a hiring company.,California,2025-06-20
PRC_008.txt,Force Majeure Checklist and Draft Clause,Negotiation Playbook,Force Majeure,Force Majeure,"Negotiation checklist for force majeure events, exclusions, and termination thresholds.",Federal,2025-06-22
PRC_009.txt,Dispute Resolution and Arbitration Procedures,Regulatory Guidance,Dispute Resolution,Dispute Resolution,Regulatory and procedural guidelines for executing binding commercial arbitration under AAA or JAMS rules.,New York,2025-06-25
PRC_010.txt,Indemnification Risk Allocation Guide,Clause Template,Indemnification,Indemnification,Mutual indemnification boilerplate clauses for third-party intellectual property and general commercial claims.,Texas,2025-06-28
PRC_011.txt,SaaS Service Level Agreement (SLA) Template,Clause Template,Termination,Termination,"Standard SaaS SLA boilerplate with uptime metrics, service credit formulas, and termination rights for chronic SLA failures.",Federal,2025-07-01
PRC_012.txt,CCPA / CPRA Consumer Privacy Compliance Guide,Regulatory Guidance,Confidentiality,Confidentiality,Regulatory guidance detailing requirements under the California Consumer Privacy Act and California Privacy Rights Act.,California,2025-07-03
PRC_013.txt,Termination for Convenience Playbook,Negotiation Playbook,Termination,Termination,"Negotiation manual for handling termination for convenience, wind-down fees, and transitional services.",Delaware,2025-07-05
PRC_014.txt,Assignment and Change of Control Playbook,Negotiation Playbook,Assignment,Assignment,"Negotiation strategies for assignment restrictions, mergers, acquisitions, and change of control clauses.",Delaware,2025-07-08
PRC_015.txt,HIPAA Business Associate Agreement (BAA) Template,Clause Template,Confidentiality,Confidentiality,Standard HIPAA BAA boilerplate for managing protected health information (PHI) between covered entities and business associates.,Federal,2025-07-10
PRC_016.txt,Software End-User License Agreement (EULA) Template,Clause Template,Intellectual Property,Intellectual Property,"Standard license grant template containing restrictions on reverse engineering, hosting, and redistribution.",Federal,2025-07-12
PRC_017.txt,EU Standard Contractual Clauses (SCCs) Guidance,Regulatory Guidance,Confidentiality,Confidentiality,Regulatory guide for implementing the European Commission's standard contractual clauses for international data transfers.,European Union,2025-07-15
PRC_018.txt,Audit and Financial Review Rights Clause,Clause Template,Payment Terms,Payment Terms,"Standard clause template specifying audit rights, financial record retention, and payment discrepancy remedies.",Federal,2025-07-18
PRC_019.txt,Export Control and Sanctions Compliance Playbook,Negotiation Playbook,Governing Law,Governing Law,"Negotiation playbook mapping compliance requirements for US, EU, and international export controls and trade sanctions.",Federal,2025-07-20
PRC_020.txt,Warranty and Disclaimers Boilerplate Clause,Clause Template,Indemnification,Indemnification,Standard warranty disclaimer template containing exclusions for merchantability and fitness for a particular purpose.,Federal,2025-07-22
